qd13_9,qc1_5_2,qc1_3_7,qd13_4,qe10_1,qc1_3_5,qi1_6,qj1,qe10a,Region,qd12_8_other,qj3_1,qb6,SEG,qc4_5,qe5_5,qc1_1_2,qe5_4,QD1_2,qc1_1_1,qh1_2,qj4_4,qe11_10,qg5,qi2a_8,qe10_10,qd12_8,qc1_3_1,qd12_7,qi1_3,qe5_10,qg6
No,No,No,No,No,Yes,Yes,Working full time (30hrs+ per week),No,Rest of Scotland,,1,,Skilled manual worker,Fairly important,No,No,No,0.0,Yes,No,No,,Fairly satisfied,Yes,No,,Yes,,No,No,Fairly satisfied
,,,,Yes,,Yes,Working full time (30hrs+ per week),Yes,Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland,X,1,Rest of Scotland,"Intermediate managerial, administrative or professional",,No,,Yes,0.0,,No,No,No change,Fairly satisfied,No,No,Dont know,,No change,No,No,Fairly satisfied
,,,,No,,Yes,Working part time (8-29hrs per week),No,North West,x,2,North West,Skilled manual worker,,,,,0.0,,No,No,No change No change No change No change No change No change No change No change,Neither satisfied or dissatisfied,No,No,Dont know,,No change,No,,Neither satisfied or dissatisfied
No,No,No,No,No,No,Yes,Not working (less than 8hrs per week) retired,Yes,London/Greater London,,1,London/Greater London,"High managerial, administrative or professional",Essential,,No,,0.0,Yes,Yes,No,,Fairly satisfied,No,No,,Yes,,No,,Fairly satisfied
,,,,Yes,,No,Not working (less than 8hrs per week) unemployed/ looking for work,Yes,London/Greater London London/Greater London London/Greater London London/Greater London London/Greater London London/Greater London,X,1,London/Greater London,Unemployed,,No,,Yes,6.0,,Yes,No,Much more,Very satisfied,,No,Much more,,Much more,No,No,Very satisfied
No,No,No,No,No,No,Yes,Not working (less than 8hrs per week) unable to work due to disability/other,Yes,Rest of Scotland,,2,Rest of Scotland Rest of Scotland Rest of Scotland,"Intermediate managerial, administrative or professional",Essential,,Yes,,0.0,No,Yes,No,,Neither satisfied or dissatisfied Neither satisfied or dissatisfied Neither satisfied or dissatisfied Neither satisfied or dissatisfied Neither satisfied or dissatisfied Neither satisfied or dissatisfied Neither satisfied or dissatisfied,No,No,,No,,No,,Neither satisfied or dissatisfied
No,No,No,No,No,No,No,Working full time (30hrs+ per week),Yes,Wales,,2,Wales,Skilled manual worker,Fairly important,No,No,No,1.0,No,No,No,,Fairly satisfied,No,No,,Yes,,No,No,Fairly satisfied
No,No,Yes,Yes,No,No,No,Not working (less than 8hrs per week) student,No,London/Greater London,,2,London/Greater London,Semi-skilled or unskilled manual worker,Essential,,No,,1.0,No,No,No,,Fairly satisfied,,Yes,,No,,No,,Fairly satisfied
No,No,No,No,,No,No,Not working (less than 8hrs per week) retired,No,North East,,2,,"Supervisor; clerical; junior managerial, administrative or professional",Irrelevant,,No,,0.0,Yes,No,No,,Very satisfied,No,,,Yes,,No,,Very satisfied
No,No,No,Yes,,No,No,Not working (less than 8hrs per week) housewife/ househusband,Yes,South West,,1,,Housewife / househusband,Fairly important,No,No,No,0.0,Yes,No,No,,Very satisfied,,,,Yes,,No,No,Very satisfied
