received_date,Auth_Description,Op_Name,Short Notice Short Notice,Description,Variation Number Variation Number,Service_Type_Other_Details
20/03/20,Dundee City Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,6,"Service varied (reduced timetable) due to Covid 19

(Service prior was:Revised timetable.)"
14/02/10,Moray Council,BLUEBIRD BUSES LIMITED,No,Standard International,3,
07/01/10,Strathclyde Partnership for Transport,LOCH LOMOND BUS SERVICES LTD,No,Standard National,1,"Monday to Friday

No service 25, 26 Dec or 1, 2 Jan"
03/06/19,Strathclyde Partnership for Transport,CRAIG OF CAMPBELTOWN LTD,Yes,Standard International,0,Daily
09/01/09,Scottish Borders Council,MIDLAND BLUEBIRD LTD,No,Standard National,0,Monday to Friday only
07/08/06,West Lothian Council,MCGILLâS SCOTLAND EAST LIMITED,No,Standard National,13,"Daily.  This service will not operate 25, 26 December, 1, 2 January, 3, 4 January, when 1 January is a Saturday or Sunday, Sunday service will operate, Good Friday, Easter Monday, May Day Monday Holiday, or any national or public holiday"
06/07/15,Scottish Borders Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,2,Monday to Friday schooldays only
12/05/23,Midlothian Council,BORDERS BUSES LTD,Yes,Standard National,16,Daily
28/09/15,Highland Council,HIGHLAND COUNTRY BUSES LTD,No,Standard National,0,When Pultney Academy is open - one return trip.
12/01/18,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,28,"Sun service 1/2 Jan.& 26 Dec No service 25 Dec Sat service 3/4 Jan,Good Fri,Easter Mon,Edinburgh local hols & between 27 & 31 Dec.

Revised timetables on all days.  Evening buses now run between Granton and Leith Street only. Sunday daytime buses run be"
06/07/18,North Ayrshire Council,WESTERN BUSES LIMITED,Yes,Standard International,4,"Non chargeable roadworks - normal route resumed on 9th July 2018 or when High Street, Irvine reopens."
29/03/18,West Lothian Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,2,Revised timetable.
24/06/15,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,0,New service operating on schooldays
15/06/18,East Lothian Council,EAST COAST BUSES LIMITED,No,Standard National,5,Daily
29/08/08,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,0,Monday to Sunday
,,MOFFAT & WILLIAMSON LTD,No,Standard International,0,
11/11/20,The City of Edinburgh Council,BORDERS BUSES LTD,Yes,Standard National,11,Daily
12/08/11,Aberdeen City Council,FIRST ABERDEEN LTD,No,Standard National,8,Monday to Saturday
31/10/07,The City of Edinburgh Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,2,To run on Boxing Day 2004 and on the 2nd of January 2005 and the subsequent dates the years thereafter
31/08/12,Falkirk District Council,MIDLAND BLUEBIRD LTD,No,Standard National,7,Monday to Sunday
06/08/20,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,Yes,Standard International,12,Service variation due to emergency situation.
04/08/08,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,Yes,Standard National,3,"Daily

Service 901X will start with effect from 15th June 2008 

Service 901 will start with effect from 30th June 2008"
07/11/11,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,0,Fri + Sat hourly frequency
20/08/04,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,7,"No service 25 & 26 December & 1 & 2 January. Saturday service on 3 & 4 January, Good Friday, Easter Monday, Edinburgh May Day, Victoria Day, Autumn holiday & weekdays between 27 & 31 December."
24/07/06,Highland Council,BLUEBIRD BUSES LIMITED,No,Standard International,1,Monday to Saturday
11/08/20,Aberdeenshire Council,DEVERON COACHES LIMITED,Yes,Standard National,3,Monday to Friday Schooldays only
24/03/20,Fife Council,TAYSIDE PUBLIC TRANSPORT CO LTD,Yes,Standard National,5,Service suspended due to Covid 19
10/08/12,Argyll & Bute Council,SCOTTISH CITYLINK COACHES LTD,No,Standard National,15,"Monday to Sunday

This service will not operate on 25th, 26th Dec & 1st, 2nd Jan."
16/02/23,Scottish Borders Council,WESTERN BUSES LIMITED,No,Standard International,1,"Service Cancelled, Last day of operation 31st March 2023"
28/08/09,Strathclyde Partnership for Transport,FIRST GLASGOW (NO2) LTD,No,Standard National,0,Daily
03/09/10,Strathclyde Partnership for Transport,LOCH LOMOND BUS SERVICES LTD,No,Standard National,2,Mon to Sat - average hourly service
22/12/14,Perth & Kinross Council,STEWART COLIN ROBERTSON & PARTNERS,Yes,Standard National,0,"Tuesday, Wednesday, Friday"
27/03/20,East Ayrshire Council,WESTERN BUSES LIMITED,Yes,Standard International,0,Hourly service Monday - Saturday covering Logan - Craigens in Cumnock
11/05/18,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,No,Standard National,1,Monday to Friday
29/07/20,Fife Council,A1 MINIBUS & COACH SERVICES LTD,Yes,Standard National,3,Schooldays only
17/07/03,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,Yes,Standard International,3,Daily.  Hourly 0015 to 0415
22/04/09,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,No,Standard International,2,Seasonal Daily Mon-Sun Hourly Service
19/11/03,West Lothian Council,MCGILLâS SCOTLAND EAST LIMITED,Yes,Standard National,8,"Daily.  This service will not operate 25, 26 Dec, 1, 2 Jan, 3, 4 Jan, when 1 Jan is a Saturday or Sunday, Sunday service will operate, Good Friday, Easter Monday, May Day, or public holiday, and on similar dates in subsequent years"
04/04/11,East Lothian Council,MCGILLâS SCOTLAND EAST LIMITED,No,Standard National,0,Daily service
31/08/12,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,22,"No service 25 & 26 December & 1 & 2 January. Saturday service on 3 & 4 January, Good Friday, Easter Monday, Edinburgh May Day, Victoria Day, Autumn holiday & weekdays between 27 & 31 December."
06/05/08,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,No,Standard International,4,
14/03/18,Angus Council,J P MINICOACHES LTD,No,Standard National,0,Schooldays only
24/06/20,Strathclyde Partnership for Transport,SCOTTISH CITYLINK COACHES LTD,Yes,Standard National,29,"Temporary variation, in response to COVID-19 outbreak. Service reduced to one round trip daily
COVID 19 - RETURN TO FULL SERVICE"
19/06/06,West Lothian Council,MCGILLâS SCOTLAND EAST LIMITED,No,Standard National,5,
23/03/18,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,No,Standard International,7,Infrequent service Monday to Friday. No Saturday or Sunday service.
07/07/17,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,Yes,Standard National,26,"This service will not operate 25 Dec or 1 Jan. 
Curtailed service to operate 
26 Dec to 2 Jan and all public/local holidays, and on similar dates in subsequent years."
26/05/23,Angus Council,TAYSIDE PUBLIC TRANSPORT CO LTD,No,Standard National,6,"Saturday and Sunday evenings only

Revised Timetable."
30/07/02,Moray Council,KINEIL COACHES LTD,Yes,Standard International,0,Schooldays only
14/07/14,Moray Council,BLUEBIRD BUSES LIMITED,No,Standard International,1,To operate 7/8/14/15/21/24/28/29/31 Dec only
20/02/15,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,23,
21/10/15,Argyll & Bute Council,CRAIG OF CAMPBELTOWN LTD,Yes,Standard International,5,Mon to Sat
04/03/19,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,No,Standard International,25,"Mon - Sat every 12 minutes, Sun 20 minute frequency."
19/07/12,Angus Council,J P MINICOACHES LTD,Yes,Standard National,1,Schooldays only
14/07/10,Cumbria County Council ,TELFORD'S COACHES LTD,No,Standard International,5,Revised timetable.
02/04/20,West Lothian Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,29,Temporary Variation  (in response Covid-19 emergency)
27/03/20,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,2,Temporary suspension due to COVID 19 (service suspended)
29/07/15,Aberdeenshire Council,WATERMILL COACHES LIMITED,Yes,Standard National,1,schooldays only
31/03/20,Argyll & Bute Council,CRAIG OF CAMPBELTOWN LTD,Yes,Standard International,7,"Service varied due to Covid 19

(Service prior was: Monday to Saturday)"
13/09/12,Glasgow City Council,WESTERN BUSES LIMITED,No,Standard International,12,Five extra trips Monday - Saturday (two ex Glasgow & three ex Lesmahagow) and some current trip times moved.
31/05/19,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,35,"No service 25 & 26 December & 1 & 2 January. Saturday service on 3 & 4 January, Good Friday, Easter Monday, Edinburgh May Day, Victoria Day, Autumn holiday & weekdays between 27 & 31 December."
24/01/05,Angus Council,J P MINICOACHES LTD,Yes,Standard National,1,
01/04/22,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,4,One return journey Monday to Friday. No Saturday or Sunday operation.
16/07/10,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,11,"This service will not operate 25 Dec or 1 Jan. 
Curtailed service to operate 
26 Dec, 2 Jan and all public/local holidays, and on similar dates in subsequent years."
10/07/15,Midlothian Council,PRENTICE COACHES LTD,Yes,Standard International,1,Mon to Sat
03/05/16,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,Yes,Standard National,0,Monday to Friday
,,MCGILL'S BUS SERVICE LTD,No,Standard National,1,
06/01/22,Stirling Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,33,
11/11/11,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,1,"Mon - Fri one journey every hour approx, Sat 2 journeys per day."
04/02/11,Midlothian Council,LOTHIAN BUSES LIMITED,No,Standard International,20,"Monday to Friday.  This service will not operate on 1, 2 January, Good Friday, Edinburgh Spring Holiday, May Day Holiday, Victoria Day Holiday, Edinburgh Trades Holiday Monday, Edinburgh Autumn Holiday, 25, 26 December"
31/08/12,West Lothian Council,MCGILLâS SCOTLAND EAST LIMITED,No,Standard National,5,Daily service
28/05/12,The City of Edinburgh Council,MCGILLâS SCOTLAND EAST LIMITED,Yes,Standard National,4,"Monday to Saturday
Revised holiday schedule (for days which are not already registered) over Xmas 2011 & New Year 2012 and future years"
27/09/05,The City of Edinburgh Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,11,"No service: 25/26 Dec & 1/2 january.ASDOSY.
"
24/07/20,Strathclyde Partnership for Transport,GARELOCHHEAD MINIBUSES & COACHES LTD,Yes,Standard National,6,"Full service resumed 

(Service prior was: Monday to Sunday 90 minute frequency during the day, various in morning and evening.)"
12/03/20,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,7,Infrequent service Monday to Friday & Saturday
,,WESTERN BUSES LIMITED,No,Standard International,0,
02/03/11,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,3,Mon - Fri 2 journeys per day. No service Sat + Sun
07/05/19,Scottish Borders Council,BORDERS BUSES LTD,Yes,Standard National,4,Daily
27/07/20,Falkirk District Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,21,"Monday to Sunday
TEMPORARY VARIATION - COVID 19
TEMPORARY VARIATION - COVID 19 - REVISED TIMETABLE
SERVICE RETURNING TO PRE COVID LEVELS"
16/08/18,East Lothian Council,E & M HORSBURGH LTD,No,Standard National,1,Daily hourly service
29/05/13,Angus Council,WISHARTS (FRIOCKHEIM) LTD,Yes,Standard National,0,Wednesday only
30/12/09,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,2,Monday to Sunday Service
15/01/03,Cumbria County Council ,MIDLAND BLUEBIRD LTD,Yes,Standard National,4,Daily.  Hourly frequency or less
21/07/17,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,14,"Daily (Monday - Sunday) hourly timtetabled Night service.

Riccarton bound journeys start at Leith Street (Omni)"
21/08/15,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,2,Daily
17/12/10,Dumfries & Galloway Council,WESTERN BUSES LIMITED,Yes,Standard International,9,"Service now operating via Carsluith, Blackcraig & Kirkcowan with some timing alterations to suit."
31/10/13,Aberdeen City Council,BLUEBIRD BUSES LIMITED,No,Standard International,0,Boxing Day and 2nd January service only.
10/03/16,Aberdeen City Council,DOUGLAS BAIN,Yes,Standard International,0,Monday to Friday
24/09/07,Western Isles Council,I A & C MACIVER LIMITED,Yes,Standard National,2,Monday to Friday Schooldays only
21/07/15,Midlothian Council,BORDERS BUSES LTD,Yes,Standard National,3,Daily
21/07/09,Strathclyde Partnership for Transport,JAMES LIDDELL,Yes,Standard International,0,Schooldays only
24/05/18,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,No,Standard International,6,Three trips removed from Sunday tender service - 1949 & 2249 ex Hillfoot Road and 2300 ex Lorne Arcade
19/11/02,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,Yes,Standard International,0,25/26 December 2002 and 1 January 2003 only.
23/05/16,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,0,"Monday to Sunday, one return trip."
28/08/07,Cumbria County Council ,TELFORD'S COACHES LTD,Yes,Standard International,0,School days only
29/10/03,Stirling Council,JOHN MITCHELL,Yes,Standard International,0,"Christmas Park & Ride Service Sat & Sun only 
"
16/05/06,Strathclyde Partnership for Transport,SHUTTLE BUSES LTD,No,Standard National,5,"Daily.  This service will not operate 25, 26 December, 1, 2 January"
06/03/14,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,No,Standard International,5,Half Hourly Monday to Saturday. No Sunday service.
30/12/11,North Lanarkshire Council,WESTERN BUSES LIMITED,No,Standard International,0,Daily return trip serving Edinburgh Zoo.
28/03/13,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,Yes,Standard National,2,"School Holiday, Mon-Fri, Sat & Sun"
31/05/19,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,No,Standard National,2,Mon to Fri
23/11/16,Stirling Council,PARKS OF HAMILTON (COACH HIRERS) LTD,No,Standard International,6,Daily
23/06/14,Fife Council,MOFFAT & WILLIAMSON LTD,No,Standard International,4,Monday to Friday School days only
14/07/10,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,18,Revised timetables
20/02/15,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,25,"Curtailed service to operate 25/26 Dec, 1/2 Jan and all public/local holidays, and on similar dates in subsequent years."
27/03/20,East Lothian Council,EAST COAST BUSES LIMITED,Yes,Standard National,3,"Daily
TEMPORARY VARIATION - COVID 19 - SPECIAL TIMETABLE"
27/07/12,East Ayrshire Council,WESTERN BUSES LIMITED,No,Standard International,12,Monday - Friday 0555 ex Kilmarnock & 0643 ex Beith trips moved 5 minutes earlier and 0740 ex Kilmarnock departs 5 minutes earlier with 5 minutes extra running time.
08/03/05,Argyll & Bute Council,CRAIG OF CAMPBELTOWN LTD,Yes,Standard International,3,
26/06/20,Scottish Borders Council,BORDERS BUSES LTD,Yes,Standard National,8,"TEMPORARY VARIATION - COVID 19 - Revised route and timetable
Temporary variation - COVID 19 - increased frequency"
03/09/21,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,Yes,Standard International,25,"TEMPORARY VARIATION - COVID 19 - revised timetable
TEMPORARY VARIATION - COVID 19 - timetable revision"
03/11/14,Strathclyde Partnership for Transport,MARBILL COACH SERVICES LTD,No,Standard International,10,Monday to Friday Schooldays only
15/08/02,Dundee City Council,TAYSIDE PUBLIC TRANSPORT CO LTD,Yes,Standard National,1,"Monday to Saturday.  This service will not operate first Monday in April, May, October and fourth Monday in July"
05/02/15,Dumfries & Galloway Council,WESTERN BUSES LIMITED,No,Standard International,11,Extra Monday - Saturday trip 0715 ex Moffat and some trips' times adjusted.
22/09/14,Highland Council,HIGHLAND COUNTRY BUSES LTD,No,Standard National,0,"Mon-Sat hourly, no service Sunday"
13/11/19,West Lothian Council,LOTHIAN COUNTRY BUSES LIMITED,No,Standard National,0,
31/05/19,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,No,Standard National,7,"Monday to Sunday, varied frequency."
30/12/19,Highland Council,HIGHLAND COUNTRY BUSES LTD,No,Standard National,2,Infrequent (Mon - Fri)
30/07/14,Scottish Borders Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,14,"Monday to Saturday
30 Minute frequency
This service will not operate 25, 26 Dec or 1,2 January and on similar dates in subsequent years."
11/07/11,Strathclyde Partnership for Transport,FIRST GLASGOW (NO2) LTD,Yes,Standard National,0,Monday to Saturday
15/09/05,The City of Edinburgh Council,MCGILLâS SCOTLAND EAST LIMITED,Yes,Standard National,1,Monday - Sunday : 0630-2300 hrs
20/02/15,Strathclyde Partnership for Transport,FIRST GLASGOW (NO2) LTD,No,Standard National,3,School holidays
03/08/03,Argyll & Bute Council,GARELOCHHEAD MINIBUSES & COACHES LTD,No,Standard National,1,Monday to Saturday.This service will not operate 25 December & 1 January. Service will cease 27 September 2003
29/06/18,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,No,Standard International,4,Trips before 0750 departing Ayr all depart 10 minutes earlier. 1740 Departing Ayr MF to serve Kilmarnock
20/03/20,Dumfries & Galloway Council,WESTERN BUSES LIMITED,Yes,Standard International,2,Service revision due to emergency situation
14/04/23,Argyll & Bute Council,CRAIG OF CAMPBELTOWN LTD,Yes,Standard International,34,Mon to Sun
20/03/20,Midlothian Council,BORDERS BUSES LTD,Yes,Standard National,2,"Daily
TEMPORARY VARIATION - COVID 19"
20/07/22,East Ayrshire Council,WESTERN BUSES LIMITED,No,Standard International,33,Service variations due to emergency situation. Easter Monday and May Day to operate normal Monday service level.
23/09/22,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,33,Revised timetable
17/08/12,Dundee City Council,TAYSIDE PUBLIC TRANSPORT CO LTD,No,Standard National,2,Mon-Sat
25/04/22,Highland Council,SHIEL BUSES LTD,Yes,Standard National,8,"Monday to Saturday.  This service will not operate 25, 26 December, 1, 2 January"
03/02/22,Argyll & Bute Council,CRAIG OF CAMPBELTOWN LTD,No,Standard International,20,Mon to Sat
18/02/13,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,No,Standard International,16,"11 journeys Mon - Thu, 14 journeys Fri, 22 journeys Sat, 6 journeys Sun."
14/01/22,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,Yes,Standard National,12,Daily
25/06/20,South Ayrshire Council,WESTERN BUSES LIMITED,Yes,Standard International,6,Service revision due to emergency situation
20/02/15,Aberdeen City Council,FIRST ABERDEEN LTD,No,Standard National,3,"Monday to Friday, Saturday, Sunday and Bank Holiday timetables."
27/03/20,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,10,"Temporary variation to service (COVID- 19 response)
TEMPORARY VARIATION - COVID 19 - special timetable to operate Mon - Sat"
28/02/11,Aberdeenshire Council,DOUGLAS BAIN,No,Standard International,1,"Monday to Saturday
Will not operate on 25/26 December and 1/2 January or on First monday in May (or equivalent Holiday Monday)"
01/07/22,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,No,Standard International,6,Service variations due to emergency situation
23/10/08,South Ayrshire Council,WESTERN BUSES LIMITED,No,Standard International,3,Monday to Sunday hourly daytime service
18/03/19,Highland Council,D & E COACHES LTD,No,Standard National,2,Monday to Friday
07/07/17,Strathclyde Partnership for Transport,FIRST GLASGOW (NO2) LTD,No,Standard National,1,Mon to Sat
,,FIRST ABERDEEN LTD,No,Standard National,0,
17/10/02,Strathclyde Partnership for Transport,MIDLAND BLUEBIRD LTD,Yes,Standard National,4,"Daily.  This service will not operate 25, 26 December, 1, 2 January"
09/11/22,Highland Council,EASTER ROSS COACH COMPANY LLP,No,Standard National,6,Schooldays only
14/03/13,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,1,Revised timetable
11/11/11,Highland Council,HIGHLAND COUNTRY BUSES LTD,No,Standard National,0,Mon - Fri only 2 journeys per day.
18/03/13,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,No,Standard International,9,Increased trip time to inbound journey
07/11/06,Highland Council,HIGHLAND COUNTRY BUSES LTD,No,Standard National,0,Schooldays only
25/03/20,Scottish Borders Council,BORDERS BUSES LTD,Yes,Standard National,3,"Daily
TEMPORARY VARIATION - COVID 19
TEMPORARY VARIATION - COVID 19 - SERVICE SUSPENDED"
19/03/20,Strathclyde Partnership for Transport,FIRST GLASGOW (NO2) LTD,Yes,Standard National,20,Temporary variation to service (COVID- 19 response)
01/08/22,Argyll & Bute Council,CRAIG OF CAMPBELTOWN LTD,Yes,Standard International,8,Monday to Saturday
04/04/14,Midlothian Council,LOTHIAN BUSES LIMITED,No,Standard International,28,"NoServ: 1/1, 25&26/12.     Sun serv: 2/1.
Sat serv:3/1 if Fri or 1/1 is Sat or Sun,4/1 if 1/1 is Sat,27-31/12,G.Fri,E.Mon, Scot B.Hol & any Nat.Hol."
11/07/13,Aberdeen City Council,KINEIL COACHES LTD,Yes,Standard International,5,"Monday to Saturday
does not operate on 25/26 December, 1/2 Jaunary. or May Holiday"
29/05/09,East Lothian Council,LOTHIAN BUSES LIMITED,No,Standard International,22,No service 25&26 Dec& 1 Jan Sun service on 2 Jan & Sat service on all other local & Bank Holidays
01/07/19,Aberdeenshire Council,MURRAY W BROWN & PARTNERS,No,Standard International,1,School Days only
08/03/21,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,16,"Monday to Friday, Saturday and Sunday up to hourly"
12/03/10,Dundee City Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,1,Revised route and timetable during closure of Bonnygate
28/02/22,Strathclyde Partnership for Transport,FIRST GLASGOW (NO2) LTD,Yes,Standard National,37,"No service 25 December & 1 January.
Good Friday - Saturday service. 
Sunday service on Easter Monday, Mayday.
Holiday service on Queen's Birthday, Glasgow Fair & Autumn holiday.
Boxing Day & 2 January - Sunday service."
27/03/20,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,Yes,Standard International,26,"No service 25 & 26 December & 1 & 2 January. Saturday service on 3 & 4 January, Good Friday, Easter Monday, Edinburgh May Day, Victoria Day, Autumn holiday & weekdays between 27 & 31 December.
TEMPORARY VARIATION - COVID 19 - special timetable"
14/12/18,The City of Edinburgh Council,MCGILLâS SCOTLAND EAST LIMITED,No,Standard National,1,Monday to Friday
20/03/08,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,3,
17/09/04,The City of Edinburgh Council,MCGILLâS SCOTLAND EAST LIMITED,No,Standard National,1,Monday to Friday
03/10/03,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,8,"Daily, as per schedules.  This service will not operate 25 December, 1 January.saturday service 27/30 Dec & 3 Jan.  Special timetable will operate on local and national public holidays"
26/03/14,Cumbria County Council ,MIDLAND BLUEBIRD LTD,Yes,Standard National,41,Daily.  Hourly frequency or less
02/05/17,Highland Council,MACLEAN COACHES LIMITED,Yes,Standard National,1,
25/11/17,Aberdeen City Council,BLUEBIRD BUSES LIMITED,No,Standard International,26,"Up to every 10 mins Monday to Saturday, every 20 mins Sunday."
08/09/16,Moray Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,6,Approximately hourly service Monday to Saturday. No Sunday service.
04/08/22,Falkirk District Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,6,Monday to Saturday
19/02/08,Highland Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,5,"Monday to Sunday

No service 25 Dec or 1st Jan

Sunday service 26 Dec & 2nd Jan"
30/06/23,Fife Council,BAY TRAVEL COACHES LTD,No,Standard International,4,Monday to Friday
12/02/21,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,13,Cancel. Journeys added to PM4/440
06/07/18,Falkirk District Council,MIDLAND BLUEBIRD LTD,No,Standard National,16,"Sunday only
No service on 25/26 Dec or 1/2 Jan or Easter Monday or May Day Monday"
22/03/22,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,14,Infrequent service
02/07/20,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,Yes,Standard International,4,Service Variations due to emergency situation
02/03/07,Highland Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,11,"This service will not operate 
25,26 Dec &1,2 Jan
Saturday service 27,30,31 Dec & 3 Jan and on similar dates in subsequent years"
26/10/20,Scottish Borders Council,BORDERS BUSES LTD,No,Standard National,1,"Service will operate only 26/12, 01/01 & 02/01"
21/05/12,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,38,Monday to Sunday Hourly
,,FIRST GLASGOW (NO1) LTD,No,Standard National,0,
,,JOHN MITCHELL,No,Standard International,0,
29/12/06,West Lothian Council,MCGILLâS SCOTLAND EAST LIMITED,Yes,Standard National,15,"Daily
This service will not operate 25,26 Dec 1,2 Jan Curtailed services will operate 3,4 Jan,Good Friday, Easter Monday, May Day or any other Public Holiday"
06/07/18,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,Yes,Standard International,11,"Non chargeable roadworks - normal route resumed on 9th July 2018 or when High Street, Irvine reopens."
29/07/22,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,0,Daily
07/08/13,Scottish Borders Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,0,Monday to Friday schooldays only
11/11/22,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,0,Christmas Day Boxing Day & New Year's Day
14/11/16,Falkirk District Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,1,Revised timetable: Boxing Day and 2nd January timetables added.
31/05/19,The City of Edinburgh Council,EAST COAST BUSES LIMITED,No,Standard National,4,Daily
14/02/20,East Lothian Council,EAST COAST BUSES LIMITED,No,Standard National,7,Daily
29/08/03,East Lothian Council,LOTHIAN BUSES LIMITED,No,Standard International,4,Daily.  Hourly 0015 to 0415
15/05/08,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,12,"This service will not operate 25 Dec & 1 Jan
Limited service between 26 Dec and 4 Jan & all public/local holidays according to schedules submitted and on similar dates in subsequent years."
26/03/20,Fife Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,3,TEMPORARY VARIATION - COVID 19 - SERVICE SUSPENDED
01/07/11,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,0,
20/03/20,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,1,"Service suspended due to COVID 19

(Service prior was:New service operating on schooldays)"
03/06/05,The City of Edinburgh Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,15,"Daily, as attached schedules.  This service will not operate 25 December, 1 January.  Special timetable will operate on local and national public holidays"
07/11/06,Highland Council,HIGHLAND COUNTRY BUSES LTD,No,Standard National,1,Monday to Friday
26/03/20,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,Yes,Standard National,2,"Monday to Friday
TEMPORARY VARIATION - COVID 19
TEMPORARY VARIATION - COVID 19 reduced service Mon-Sat"
02/03/12,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,16,Revised timetable
03/02/11,Moray Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,9,Hourly Monday to Saturday
31/03/03,Perth & Kinross Council,SCOTTISH CITYLINK COACHES LTD,No,Standard National,0,11-14 July. On similar dates in subsequent years.
07/05/13,Aberdeen City Council,FIRST ABERDEEN LTD,No,Standard National,1,1 day only
20/02/17,Argyll & Bute Council,CRAIG OF CAMPBELTOWN LTD,Yes,Standard International,8,Mon to Sat
01/02/10,Stirling Council,MIDLAND BLUEBIRD LTD,No,Standard National,12,Curtailed service on the 24th and the 31st of December.
11/12/20,Dundee City Council,TAYSIDE PUBLIC TRANSPORT CO LTD,No,Standard National,11,Daily
06/07/18,Angus Council,J P MINICOACHES LTD,Yes,Standard National,1,School days only
